,Item_name,Item number 1,Item number 2,Item number 3
0,Active classic boxers,Cap 1 boxer briefs|уровень: 0.251520| id: 18,Cap 1 bottoms|уровень: 0.197339| id: 17,Active boxer briefs|уровень: 0.196278| id: 493
1,Active sport boxer briefs,Active sport briefs|уровень: 0.528829| id: 2,Active briefs|уровень: 0.140213| id: 299,Active boy shorts|уровень: 0.109527| id: 298
2,Active sport briefs,Active sport boxer briefs|уровень: 0.528829| id: 1,Active briefs|уровень: 0.124742| id: 299,Active boy shorts|уровень: 0.111375| id: 298
3,Alpine guide pants,Alpine guide pants|уровень: 0.900038| id: 158,Guide jkt|уровень: 0.124067| id: 183,Rock guide pants|уровень: 0.117735| id: 342
4,Alpine wind jkt,Alpine wind jkt|уровень: 0.970987| id: 307,Multi use shorts|уровень: 0.074603| id: 206,Nine trails shorts|уровень: 0.065584| id: 96
5,Ascensionist jkt,Guide jkt|уровень: 0.252867| id: 183,Guide jkt|уровень: 0.251258| id: 437,Microburst jkt|уровень: 0.169408| id: 414
6,Atom,Pocket pack|уровень: 0.290152| id: 103,Hip pack|уровень: 0.267980| id: 402,Single shot|уровень: 0.206894| id: 353
7,Print banded betina btm,Solid betina btm|уровень: 0.922950| id: 219,Print bayonne btm|уровень: 0.337909| id: 239,Print sunamee btm|уровень: 0.281475| id: 261
8,Baby micro d-luxe cardigan,Micro d-luxe cardigan|уровень: 0.377210| id: 416,Araveto hooded jkt|уровень: 0.103062| id: 459,Synch snap-t|уровень: 0.097116| id: 319
9,Baby sun bucket hat,Trim brim hat|уровень: 0.377305| id: 424,Baby baggies shorts|уровень: 0.196711| id: 465,Girl's baggies shorts|уровень: 0.167439| id: 427
10,Baby sunshade top,Sunshade hoody|уровень: 0.368855| id: 418,Baby baggies apron dress|уровень: 0.123004| id: 464,Sunshade shirt|уровень: 0.094708| id: 411
11,Baggies shorts,River shorts|уровень: 0.250181| id: 401,Baggies shorts|уровень: 0.115849| id: 407,Baby baggies shorts|уровень: 0.111197| id: 465
12,Beach bucket,Bimini cap|уровень: 0.167301| id: 478,Surf brim|уровень: 0.165866| id: 134,Logo visor|уровень: 0.154111| id: 448
13,Better sweater jkt,Better sweater jkt|уровень: 0.366073| id: 165,Traverse jkt|уровень: 0.086355| id: 231,Aravis jkt|уровень: 0.077931| id: 160
14,Borderless shorts-11 in.,Borderless shorts-7 in.|уровень: 0.645266| id: 15,Borderless trek pants|уровень: 0.442608| id: 483,Borderless messenger shorts|уровень: 0.429620| id: 479
15,Borderless shorts-7 in.,Borderless shorts-11 in.|уровень: 0.645266| id: 14,Borderless trek pants|уровень: 0.443933| id: 483,Borderless messenger shorts|уровень: 0.433655| id: 479
16,Bucket hat,Trim brim hat|уровень: 0.144782| id: 424,Surf brim|уровень: 0.131716| id: 134,Baby sun bucket hat|уровень: 0.123782| id: 9
17,Cap 1 bottoms,Cap 1 bottoms|уровень: 0.577945| id: 170,Cap 1 t-shirt|уровень: 0.450300| id: 20,Cap 1 t-shirt|уровень: 0.438369| id: 171
18,Cap 1 boxer briefs,Active boxer briefs|уровень: 0.655374| id: 493,Active classic boxers|уровень: 0.251520| id: 0,Active briefs|уровень: 0.214356| id: 494
19,Cap 1 graphic t-shirt,Cap 1 graphic t-shirt|уровень: 0.698879| id: 339,Cap 1 graphic crew|уровень: 0.676143| id: 487,Cap 1 t-shirt|уровень: 0.547008| id: 20
20,Cap 1 t-shirt,Cap 1 graphic crew|уровень: 0.585118| id: 487,Cap 1 crew|уровень: 0.579353| id: 486,Cap 1 graphic t-shirt|уровень: 0.547008| id: 19
21,Cap 2 t-shirt,Cap 2 crew|уровень: 0.759144| id: 496,Cap 2 t-shirt|уровень: 0.736129| id: 359,Cap 2 cap sleeve|уровень: 0.668994| id: 358
22,Cap 2 zip neck,Cap 2 zip neck|уровень: 0.662577| id: 174,Cap 2 t-shirt|уровень: 0.623540| id: 21,Cap 2 crew|уровень: 0.583556| id: 496
23,Cap 3 zip neck,Cap 3 crew|уровень: 0.687407| id: 440,Cap 3 crew|уровень: 0.641206| id: 442,Cap 3 bottoms|уровень: 0.500395| id: 441
24,Cap 4 bottoms,Cap 4 bottoms|уровень: 0.711088| id: 175,Cap 4 zip neck|уровень: 0.468970| id: 276,Cap 4 zip neck|уровень: 0.449686| id: 445
25,City by the sea t-shirt,Live simply bug t-shirt|уровень: 0.424263| id: 70,Dragoons t-shirt|уровень: 0.419082| id: 35,Future of the earth t-shirt|уровень: 0.399615| id: 422
26,Compound cargo pants,Compound cargo pants|уровень: 0.995320| id: 451,Compound cargo pants|уровень: 0.987283| id: 27,Compound cargo shorts|уровень: 0.385194| id: 452
27,Compound cargo pants,Compound cargo pants|уровень: 0.987283| id: 26,Compound cargo pants|уровень: 0.987130| id: 451,Compound cargo shorts|уровень: 0.382025| id: 452
28,Continental shorts,Continental pants|уровень: 0.433241| id: 453,Inter-continental capris|уровень: 0.140370| id: 186,Inter-continental shorts|уровень: 0.135242| id: 305
29,Cotton board shorts,Paddler board shorts|уровень: 0.221290| id: 99,Minimalist board shorts-19 in.|уровень: 0.136303| id: 91,Light and variable surf trunks|уровень: 0.118490| id: 69
30,Crosstown,Lightwire brief|уровень: 0.309688| id: 436,Lightwire|уровень: 0.307259| id: 435,Pocket pack|уровень: 0.275352| id: 103
31,Custodian pants,Custodian pants|уровень: 0.990628| id: 462,Custodian pants|уровень: 0.974804| id: 461,All-wear cargo shorts|уровень: 0.370260| id: 498
32,Deep wading jkt,Guidewater jkt|уровень: 0.379559| id: 50,Sst jkt|уровень: 0.178202| id: 128,Rain shadow trench coat|уровень: 0.137525| id: 351
33,Delivery shorts,All-wear cargo shorts|уровень: 0.275594| id: 498,Custodian pants|уровень: 0.247398| id: 31,Custodian pants|уровень: 0.247322| id: 462
34,Down sweater vest,Down sweater vest|уровень: 0.877055| id: 281,Down sweater|уровень: 0.392669| id: 472,Down sweater|уровень: 0.324374| id: 178
35,Dragoons t-shirt,City by the sea t-shirt|уровень: 0.419082| id: 25,La surfer maria t-shirt|уровень: 0.409051| id: 67,Live simply bug t-shirt|уровень: 0.329443| id: 70
36,Duck pants,Duck pants|уровень: 0.992493| id: 481,Duck pants|уровень: 0.979733| id: 480,Duck shorts|уровень: 0.271512| id: 482
37,Elias fz sweatshirt,Elias sweatshirt|уровень: 0.254672| id: 38,Cotton fleece hoody|уровень: 0.154501| id: 278,Margot dress|уровень: 0.129399| id: 198
38,Elias sweatshirt,Elias fz sweatshirt|уровень: 0.254672| id: 37,Cotton fleece hoody|уровень: 0.116460| id: 278,Margot dress|уровень: 0.111854| id: 198
39,Fezzman shirt,S/s casitas shirt|уровень: 0.296703| id: 356,S/s puckerware shirt|уровень: 0.196761| id: 126,Drift shirt|уровень: 0.150134| id: 282
40,Fish frenzy t-shirt,Peregrine t-shirt|уровень: 0.461839| id: 371,North coast t-shirt|уровень: 0.398208| id: 287,Butterfly logo t-shirt|уровень: 0.361194| id: 169
41,Freewheeler,Freewheeler max|уровень: 0.808340| id: 420,Mlc wheelie|уровень: 0.197737| id: 93,Mlc|уровень: 0.155085| id: 429
42,Gi ii pants,Gi ii zip-off pants|уровень: 0.526590| id: 426,Gi ii shorts|уровень: 0.304869| id: 43,River shorts|уровень: 0.112392| id: 401
43,Gi ii shorts,Gi ii zip-off pants|уровень: 0.375450| id: 426,Gi ii pants|уровень: 0.304869| id: 42,River shorts|уровень: 0.161753| id: 401
44,Girl's boardie capris,Girl's boardie shorts|уровень: 0.227332| id: 45,Boardie shorts|уровень: 0.164617| id: 408,Girl's baggies shorts|уровень: 0.108027| id: 427
45,Girl's boardie shorts,Boardie shorts|уровень: 0.642195| id: 408,Girl's boardie capris|уровень: 0.227332| id: 44,Baby baggies shorts|уровень: 0.080475| id: 465
46,Girl's cotton tank dress,S/s squeaky clean polo shirt|уровень: 0.130738| id: 362,Lithia dress|уровень: 0.096776| id: 191,Simply organic tee|уровень: 0.094090| id: 249
47,Going big in b.c. poster,Wyoming climbing poster|уровень: 0.855529| id: 237,Sticks 'n stones morocco poster|уровень: 0.841103| id: 370,"Wild steelhead, alaska poster|уровень: 0.825701| id: 395"
48,Great divider,Sub divider|уровень: 0.766068| id: 133,Guidewater duffle|уровень: 0.067071| id: 49,Guidewater duffle|уровень: 0.062898| id: 438
49,Guidewater duffle,Guidewater duffle|уровень: 0.816528| id: 438,Stormfront pack|уровень: 0.139751| id: 130,Pack vest|уровень: 0.072126| id: 367
50,Guidewater jkt,Sst jkt|уровень: 0.458408| id: 128,Deep wading jkt|уровень: 0.379559| id: 32,Guidewater shirt|уровень: 0.102310| id: 444
51,Guidewater shorts,Guidewater pants|уровень: 0.863315| id: 443,Marlwalker pants|уровень: 0.108345| id: 398,Paddler board shorts|уровень: 0.095864| id: 99
52,Guidewater vest,Riverwalker vest|уровень: 0.492140| id: 341,Double haul|уровень: 0.081299| id: 471,Guidewater jkt|уровень: 0.070780| id: 50
53,Highwater pfd vest,Hip chest pack|уровень: 0.062090| id: 54,Trucker hat|уровень: 0.058565| id: 144,Pack vest|уровень: 0.056665| id: 367
54,Hip chest pack,Double haul|уровень: 0.394063| id: 471,Pack vest|уровень: 0.177166| id: 367,Hip pack|уровень: 0.106769| id: 402
55,Iceberg t-shirt,Cerro torre one t-shirt|уровень: 0.430504| id: 447,Wind path t-shirt|уровень: 0.413128| id: 396,Rockpile t-shirt|уровень: 0.409705| id: 115
56,Insulator pants,Shelled insulator pants|уровень: 0.252558| id: 348,Cap 4 bottoms|уровень: 0.122983| id: 24,Cap 4 bottoms|уровень: 0.115869| id: 175
57,'73 logo t-shirt,Gpiw classic t-shirt|уровень: 0.981031| id: 63,Flying fish t-shirt|уровень: 0.932645| id: 62,Live simply guitar t-shirt|уровень: 0.915420| id: 64
58,Borderless gi shorts,Borderless pants|уровень: 0.150139| id: 327,Borderless messenger shorts|уровень: 0.146456| id: 479,Gi ii shorts|уровень: 0.142673| id: 43
59,Cap 1 graphic tee,Cap 1 graphic t-shirt|уровень: 0.152481| id: 19,Cap 1 crew|уровень: 0.152400| id: 486,Cap 3 crew|уровень: 0.149222| id: 412
60,Cap 3 bottoms,Cap 3 crew|уровень: 0.451042| id: 412,Cap 3 bottoms|уровень: 0.120194| id: 439,Cap 1 bottoms|уровень: 0.118288| id: 17
61,El cap jkt,El cap jkt|уровень: 0.176549| id: 179,Synch marsupial|уровень: 0.119986| id: 65,Baby synch cardigan|уровень: 0.104260| id: 473
62,Flying fish t-shirt,Gpiw classic t-shirt|уровень: 0.942490| id: 63,'73 logo t-shirt|уровень: 0.932645| id: 57,Live simply guitar t-shirt|уровень: 0.879456| id: 64
63,Gpiw classic t-shirt,'73 logo t-shirt|уровень: 0.981031| id: 57,Flying fish t-shirt|уровень: 0.942490| id: 62,Live simply guitar t-shirt|уровень: 0.925084| id: 64
64,Live simply guitar t-shirt,Gpiw classic t-shirt|уровень: 0.925084| id: 63,'73 logo t-shirt|уровень: 0.915420| id: 57,Flying fish t-shirt|уровень: 0.879456| id: 62
65,Synch marsupial,Baby synch cardigan|уровень: 0.300266| id: 473,Baby synch vest|уровень: 0.294084| id: 474,Synch vest|уровень: 0.208553| id: 229
66,Torrentshell jkt,Torrentshell pants|уровень: 0.232277| id: 423,Rain shadow trench coat|уровень: 0.205457| id: 351,Torrentshell jkt|уровень: 0.136629| id: 273
67,La surfer maria t-shirt,Mountain island t-shirt|уровень: 0.501879| id: 94,Organic logo t-shirt|уровень: 0.450207| id: 97,Dragoons t-shirt|уровень: 0.409051| id: 35
68,Lead an examined life poster,Symmetry w16 poster|уровень: 0.871191| id: 318,Going big in b.c. poster|уровень: 0.815047| id: 47,Wyoming climbing poster|уровень: 0.813333| id: 237
69,Light and variable surf trunks,Paddler board shorts|уровень: 0.178383| id: 99,Wavefarer board shorts-21 in.|уровень: 0.166278| id: 394,Cotton board shorts|уровень: 0.118490| id: 29
70,Live simply bug t-shirt,City by the sea t-shirt|уровень: 0.424263| id: 25,La surfer maria t-shirt|уровень: 0.370994| id: 67,Dragoons t-shirt|уровень: 0.329443| id: 35
71,Live simply deer t-shirt,Live simply deer t-shirt|уровень: 0.830653| id: 333,The more you know t-shirt|уровень: 0.409054| id: 138,Flying fish 2 t-shirt|уровень: 0.350885| id: 490
72,Live simply guitar t-shirt,Live simply guitar t-shirt|уровень: 0.887576| id: 334,Trout silhouette t-shirt|уровень: 0.356701| id: 143,Yosemite essence t-shirt|уровень: 0.330761| id: 238
73,Logo hat,Logo visor|уровень: 0.160002| id: 448,Surf brim|уровень: 0.141969| id: 134,Beach bucket|уровень: 0.126013| id: 12
74,L/s hooded rashguard,L/s rashguard|уровень: 0.659148| id: 76,S/s rashguard|уровень: 0.604728| id: 360,L/s rashguard|уровень: 0.312347| id: 194
75,L/s island hopper shirt,S/s island hopper shirt|уровень: 0.835239| id: 124,Fezzman shirt|уровень: 0.134965| id: 39,Simply organic polo|уровень: 0.116766| id: 247
76,L/s rashguard,S/s rashguard|уровень: 0.930080| id: 360,L/s hooded rashguard|уровень: 0.659148| id: 74,L/s rashguard|уровень: 0.345305| id: 194
77,L/s steersman shirt,Hooded monk sweatshirt|уровень: 0.101496| id: 403,S/s a/c shirt|уровень: 0.087780| id: 224,Three trees shirt|уровень: 0.084569| id: 139
78,Lw endurance ankle socks,Lw endurance quarter socks|уровень: 0.664763| id: 79,Ultra lw endurance ped socks|уровень: 0.564978| id: 338,Lw hiking crew socks|уровень: 0.273543| id: 80
79,Lw endurance quarter socks,Lw endurance ankle socks|уровень: 0.664763| id: 78,Ultra lw endurance ped socks|уровень: 0.616365| id: 338,Lw hiking crew socks|уровень: 0.302040| id: 80
80,Lw hiking crew socks,Ulw hiking crew socks|уровень: 0.602152| id: 147,Mw hiking crew socks|уровень: 0.430619| id: 456,Lw endurance quarter socks|уровень: 0.302040| id: 79
81,Lw r4 jkt,Lw r4 jkt|уровень: 0.942544| id: 379,R2 jkt|уровень: 0.105022| id: 380,R1 hoody|уровень: 0.093087| id: 104
82,Lw travel duffel,Lw travel pack|уровень: 0.393147| id: 83,Lw travel tote|уровень: 0.375670| id: 393,Lw travel courier|уровень: 0.369153| id: 388
83,Lw travel pack,Lw travel tote|уровень: 0.500075| id: 393,Lw travel duffel|уровень: 0.393147| id: 82,Lw travel courier|уровень: 0.389023| id: 388
84,M10 jkt,M10 jkt|уровень: 0.958211| id: 196,M10 pants|уровень: 0.306647| id: 85,Torrentshell jkt|уровень: 0.193979| id: 326
85,M10 pants,M10 jkt|уровень: 0.306647| id: 84,M10 jkt|уровень: 0.304355| id: 196,Torrentshell pants|уровень: 0.163256| id: 423
86,Merino 1 crew,Merino 1 t-shirt|уровень: 0.647271| id: 87,Merino 1 crew|уровень: 0.593752| id: 259,Merino 1 t-shirt|уровень: 0.582083| id: 264
87,Merino 1 t-shirt,Merino 1 crew|уровень: 0.717808| id: 259,Merino 1 graphic t-shirt|уровень: 0.702807| id: 199,Merino 1 t-shirt|уровень: 0.670190| id: 264
88,Merino 2 polo,Merino 2 t-shirt|уровень: 0.723063| id: 89,Merino 2 bottoms|уровень: 0.629619| id: 405,Merino 2 bottoms|уровень: 0.624921| id: 265
89,Merino 2 t-shirt,Merino 2 crew|уровень: 0.737791| id: 406,Merino 2 polo|уровень: 0.723063| id: 88,Merino 2 t-shirt|уровень: 0.657052| id: 268
90,Migration hemp shirt,S/s puckerware shirt|уровень: 0.178902| id: 126,Simply organic polo|уровень: 0.157723| id: 247,S/s a/c shirt|уровень: 0.155179| id: 355
91,Minimalist board shorts-19 in.,Twenty-three's board shorts|уровень: 0.550395| id: 145,Wavefarer board shorts-21 in.|уровень: 0.506408| id: 394,Paddler board shorts|уровень: 0.243449| id: 99
92,Minimass,Mlc burrito|уровень: 0.186269| id: 430,Half mass|уровень: 0.184545| id: 485,Hip pack|уровень: 0.177199| id: 402
93,Mlc wheelie,Mlc|уровень: 0.314703| id: 429,Freewheeler|уровень: 0.197737| id: 41,Freewheeler max|уровень: 0.182453| id: 420
94,Mountain island t-shirt,Organic logo t-shirt|уровень: 0.517686| id: 97,La surfer maria t-shirt|уровень: 0.501879| id: 67,Hills t-shirt|уровень: 0.418118| id: 184
95,Nine trails jkt,Nine trails jkt|уровень: 0.934679| id: 280,Nine trails vest|уровень: 0.450653| id: 363,Nine trails vest|уровень: 0.449608| id: 209
96,Nine trails shorts,Nine trails shorts|уровень: 0.792338| id: 208,Ultra shorts|уровень: 0.381342| id: 146,Long haul runners|уровень: 0.359433| id: 449
97,Organic logo t-shirt,Mountain island t-shirt|уровень: 0.517686| id: 94,La surfer maria t-shirt|уровень: 0.450207| id: 67,Hills t-shirt|уровень: 0.434806| id: 184
98,O web belt,Tech web belt|уровень: 0.396576| id: 136,Travel belt|уровень: 0.279397| id: 141,Friction belt|уровень: 0.205746| id: 421
99,Paddler board shorts,Minimalist board shorts-19 in.|уровень: 0.243449| id: 91,Cotton board shorts|уровень: 0.221290| id: 29,Light and variable surf trunks|уровень: 0.178383| id: 69
100,Pataloha shirt,Special edition pataloha shirt|уровень: 0.212562| id: 122,Super cali shorts|уровень: 0.112134| id: 228,Sleeveless a/c shirt|уровень: 0.107770| id: 217
101,Planer t-shirt,Trout head t-shirt|уровень: 0.394708| id: 332,Yosemite essence t-shirt|уровень: 0.374751| id: 238,Fitz roy study t-shirt|уровень: 0.359078| id: 488
102,Platform t-shirt,Rockpile t-shirt|уровень: 0.305322| id: 115,World according to bikers t-shir|уровень: 0.286492| id: 150,Sonar so no t-shirt|уровень: 0.272593| id: 121
103,Pocket pack,Lightwire|уровень: 0.308761| id: 435,Atom|уровень: 0.290152| id: 6,Hip pack|уровень: 0.286333| id: 402
104,R1 hoody,R1 full-zip jkt|уровень: 0.362217| id: 262,R1 full-zip jkt|уровень: 0.362056| id: 377,R1 p/o|уровень: 0.226273| id: 263
105,R1 p/o,R1 p/o|уровень: 0.795936| id: 263,R1 full-zip jkt|уровень: 0.248521| id: 262,R1 full-zip jkt|уровень: 0.248411| id: 377
106,Rain shadow pants,Rain shadow pants|уровень: 0.998546| id: 350,Rain shadow jkt|уровень: 0.384620| id: 211,Rain shadow jkt|уровень: 0.382136| id: 381
107,Reg fit organic ctn jeans-long,Reg fit organic ctn jeans-short|уровень: 0.985474| id: 389,Reg fit organic ctn jeans-reg|уровень: 0.971159| id: 108,Relax fit organic ctn jeans-long|уровень: 0.330497| id: 390
108,Reg fit organic ctn jeans-reg,Reg fit organic ctn jeans-short|уровень: 0.985474| id: 389,Reg fit organic ctn jeans-long|уровень: 0.971159| id: 107,Relax fit organic ctn jeans-reg|уровень: 0.330497| id: 391
109,Relax fit organic ctn jeans-shor,Relax fit organic ctn jeans-reg|уровень: 0.984554| id: 391,Relax fit organic ctn jeans-long|уровень: 0.984554| id: 390,Reg fit organic ctn jeans-short|уровень: 0.309985| id: 389
110,Remat,Live simply bug t-shirt|уровень: 0.038815| id: 70,Live simply guitar t-shirt|уровень: 0.037638| id: 64,Girl's live simply deer t-shirt|уровень: 0.036730| id: 431
111,Retro grade pants,Retro grade shorts|уровень: 0.595856| id: 399,Pinback top|уровень: 0.095849| id: 289,Delivery shorts|уровень: 0.084560| id: 33
112,Riverwalker,Riverwalker|уровень: 0.959762| id: 113,Riverwalker|уровень: 0.908747| id: 419,Marlwalker|уровень: 0.574723| id: 397
113,Riverwalker,Riverwalker|уровень: 0.959762| id: 112,Riverwalker|уровень: 0.892922| id: 419,Marlwalker|уровень: 0.567188| id: 397
114,Rock guide shorts,Rock guide pants|уровень: 0.377170| id: 342,Rock guide shorts|уровень: 0.277425| id: 213,Rock guide pants|уровень: 0.208766| id: 212
115,Rockpile t-shirt,Cerro torre one t-shirt|уровень: 0.512497| id: 447,Ditch the car-ride t-shirt|уровень: 0.429192| id: 177,'73 logo t-shirt|уровень: 0.417739| id: 492
116,Runshade top,L/s runshade top|уровень: 0.703636| id: 476,Runshade t-shirt|уровень: 0.519936| id: 244,Runshade t-shirt|уровень: 0.490587| id: 347
117,Shop pants,Shop pants|уровень: 0.982248| id: 349,Shop pants|уровень: 0.982035| id: 118,Custodian pants|уровень: 0.126522| id: 461
118,Shop pants,Shop pants|уровень: 0.993439| id: 349,Shop pants|уровень: 0.982035| id: 117,Custodian pants|уровень: 0.124578| id: 462
119,Simple guide jkt,Simple guide jkt|уровень: 0.963694| id: 215,Simple guide pants|уровень: 0.137280| id: 216,Simple guide pants|уровень: 0.129339| id: 352
120,Soaring jkt,Three trees shirt|уровень: 0.126340| id: 139,Compound cargo shorts|уровень: 0.077710| id: 452,All-wear cargo shorts|уровень: 0.076197| id: 498
121,Sonar so no t-shirt,World according to bikers t-shir|уровень: 0.321023| id: 150,Platform t-shirt|уровень: 0.272593| id: 102,Rockpile t-shirt|уровень: 0.250724| id: 115
122,Special edition pataloha shirt,Pataloha shirt|уровень: 0.212562| id: 100,Lithia dress|уровень: 0.158563| id: 191,Kamala dress|уровень: 0.135192| id: 312
123,Squid t-shirt,Cerro torre one t-shirt|уровень: 0.441466| id: 447,Wind path t-shirt|уровень: 0.403650| id: 396,Butterfly logo t-shirt|уровень: 0.399146| id: 169
